"country","organization","type"
"AG","NAM","member"
"AG","OAS","member"
"AG","OECS","member"
"AG","OPANAL","member"
"AG","OPCW","member"
"AG","UN","member"
"AG","UNCTAD","member"
"AG","UNESCO","member"
"AG","UPU","member"
"AG","WFTU","member"
"AG","WHO","member"
"AG","WIPO","member"
"AG","WMO","member"
"AG","WTO","member"
"AL","BSEC","member"
"AL","CD","signatory"
"AL","CE","member"
"AL","CEI","member"
"AL","EAPC","member"
"AL","EBRD","member"
"AL","EITI","compliant countries"
"AL","EU","candidate"
"AL","FAO","member"
"AL","IAEA","member"
"AL","IBRD","member"
"AL","ICAO","member"
"AL","ICC","national committee"
"AL","ICCt","state accepting jurisdiction"
"AL","IDA","member"
"AL","IDB","member"
"AL","IFAD","List C"
"AL","IFC","member"
"AL","IFRCS","member"
"AL","ILO","member"
"AL","IMF","member"
"AL","IMO","member"
"AL","Interpol","member"
"AL","IOC","National Olympic Committee"
"AL","IOM","member"
"AL","IPU","member"
"AL","ISO","correspondent member"
"AL","ITU","member"
"AL","ITUC","member"
"AL","MIGA","member"
"AL","NATO","member"
"AL","OAS","observer"
"AL","OIC","member"
"AL","OIF","member"
"AL","OPCW","member"
"AL","OSCE","member"
"AL","PCA","member"
"AL","SELEC","member"
"AL","UN","member"
"AL","UNCTAD","member"
"AL","UNESCO","member"
"AL","UNIDO","member"
"AL","UNWTO","member"
"AL","UPU","member"
"AL","WCO","member"
"AL","WFTU","member"
"AL","WHO","member"
"AL","WIPO","member"
"AL","WMO","member"
"AL","WTO","member"
"AND","CE","member"
"AND","FAO","member"
"AND","ICAO","member"
"AND","ICC","having direct member"
"AND","ICCt","state accepting jurisdiction"
"AND","IFRCS","member"
"AND","Interpol","member"
"AND","IOC","National Olympic Committee"
"AND","IPU","member"
"AND","ITU","member"
"AND","OIF","member"
"AND","OPCW","member"
"AND","OSCE","member"
"AND","UN","member"
"AND","UNCTAD","member"
"AND","UNESCO","member"
"AND","UNWTO","member"
"AND","WCO","member"
"AND","WHO","member"
"AND","WIPO","member"
"AND","WTO","observer"
"ANG","ACP","member"
"ANG","AfDB","regional member"
"ANG","AU","member"
"ANG","CPLP","member"
"ANG","FAO","member"
"ANG","G-77","member"
"ANG","IAEA","member"
"ANG","IBRD","member"
"ANG","ICAO","member"
"ANG","IDA","member"
"ANG","IFAD","List C"
"ANG","IFC","member"
"ANG","IFRCS","member"
"ANG","ILO","member"
"ANG","IMF","member"
"ANG","IMO","member"
"ANG","Interpol","member"
"ANG","IOC","National Olympic Committee"
"ANG","IOM","member"
"ANG","IPU","member"
"ANG","ISO","correspondent member"
"ANG","ITSO","member"
"ANG","ITU","member"
"ANG","ITUC","member"
"ANG","MIGA","member"
"ANG","NAM","member"
"ANG","OAS","observer"
"ANG","OPEC","member"
"ANG","SADC","member"
"ANG","UN","member"
"ANG","UNCTAD","member"
"ANG","UNESCO","member"
"ANG","UNIDO","member"
"ANG","UNWTO","member"
"ANG","UPU","member"
"ANG","WCO","member"
"ANG","WFTU","member"
"ANG","WHO","member"
"ANG","WIPO","member"
"ANG","WMO","member"
"ANG","WTO","member"
"ARM","ADB","member"
"ARM","BSEC","member"
"ARM","CD","signatory"
"ARM","CE","member"
"ARM","CIS","member"
"ARM","CSTO","member"
"ARM","EAPC","member"
"ARM","EBRD","member"
"ARM","EurasEC","observer"
"ARM","FAO","member"
"ARM","GCTU","member"
"ARM","IAEA","member"
"ARM","IBRD","member"
"ARM","ICAO","member"
"ARM","ICC","having direct member"
"ARM","IDA","member"
"ARM","IFAD","List C"
"ARM","IFC","member"
"ARM","IFRCS","member"
"ARM","ILO","member"
"ARM","IMF","member"
"ARM","Interpol","member"
"ARM","IOC","National Olympic Committee"
"ARM","IOM","member"
"ARM","IPU","member"
"ARM","ISO","member"
"ARM","ITSO","member"
"ARM","ITU","member"
"ARM","MIGA","member"
"ARM","NAM","observer"
"ARM","OAS","observer"
"ARM","OIF","member"
"ARM","OPCW","member"
"ARM","OSCE","member"
"ARM","PFP","member"
"ARM","UN","member"
"ARM","UNCTAD","member"
"ARM","UNESCO","member"
"ARM","UNIDO","member"
"ARM","UNIFIL","member"
"ARM","UNWTO","member"
"ARM","UPU","member"
"ARM","WCO","member"
"ARM","WFTU","member"
"ARM","WHO","member"
"ARM","WIPO","member"
"ARM","WMO","member"
"ARM","WTO","member"
"ARU","AOSIS","observer"
"ARU","Caricom","observer"
"ARU","FATF","member"
"ARU","IMF","member"
"ARU","Interpol","member"
"ARU","IOC","National Olympic Committee"
"ARU","ITUC","member"
"ARU","UNESCO","associate member"
"ARU","UNWTO","associate member"
"ARU","UPU","member"
"AS","AOSIS","observer"
"AS","Interpol","subbureau"
"AS","IOC","National Olympic Committee"
"AS","PIF","observer"
"AS","SPC","member"
"AS","UPU","member"
"AUS","ADB","member"
"AUS","AG","member"
"AUS","ANZUS","member"
"AUS","APEC","member"
"AUS","ARF","member"
"AUS","ASEAN","dialogue partner"
"AUS","BIS","member"
"AUS","C","member"
"AUS","CD","signatory"
"AUS","CP","member"
"AUS","EAS","member"
"AUS","EBRD","member"
"AUS","EITI","stake holder"
"AUS","FAO","member"
"AUS","FATF","member"
"AUS","G-20","member"
"AUS","IAEA","member"
"AUS","IBRD","member"
"AUS","ICAO","member"
"AUS","ICC","national committee"
"AUS","ICCt","state accepting jurisdiction"
"AUS","ICJ","accepting compulsory jurisdiction with reservations"
"AUS","IDA","member"
"AUS","IEA","member"
"AUS","IFC","member"
"AUS","IFRCS","member"
"AUS","IHO","member"
"AUS","ILO","member"
"AUS","IMF","member"
"AUS","IMO","member"
"AUS","IMSO","member"
"AUS","Interpol","member"
"AUS","IOC","National Olympic Committee"
"AUS","IOM","member"
"AUS","IPU","member"
"AUS","ISO","member"
"AUS","ITSO","member"
"AUS","ITU","member"
"AUS","ITUC","member"
"AUS","MIGA","member"
"AUS","NEA","member"
"AUS","NSG","member"
"AUS","OECD","member"
"AUS","OPCW","member"
"AUS","PCA","member"
"AUS","PIF","member"
"AUS","SAARC","observer"
"AUS","SICA","observer"
"AUS","Sparteca","member"
"AUS","SPC","member"
"AUS","UN","member"
"AUS","UNCTAD","member"
"AUS","UNESCO","member"
"AUS","UNHCR","member"
"AUS","UNMISS","member"
"AUS","UNMIT","member"
"AUS","UNRWA","member"
"AUS","UNSC","nonpermanent member"
"AUS","UNTSO","member"
"AUS","UNWTO","member"
"AUS","UPU","member"
"AUS","WCO","member"
"AUS","WFTU","member"
"AUS","WHO","member"
"AUS","WIPO","member"
"AUS","WMO","member"
"AUS","WTO","member"
"AUS","ZC","member"
"AXA","Caricom","associate member"
"AXA","CDB","regional member"
"AXA","Interpol","subbureau"
"AXA","OECS","member"
"AXA","UNESCO","associate member"
"AZ","ADB","member"
"AZ","BSEC","member"
"AZ","CD","signatory"
"AZ","CE","member"
"AZ","CICA","member"
"AZ","CIS","member"
"AZ","EAPC","member"
"AZ","EBRD","member"
"AZ","ECO","member"
"AZ","EITI","compliant countries"
"AZ","FAO","member"
"AZ","GCTU","member"
"AZ","GUAM","member"
"AZ","IAEA","member"
"AZ","IBRD","member"
"AZ","ICAO","member"
"AZ","ICC","having direct member"
"AZ","IDA","member"
"AZ","IDB","member"
"AZ","IFAD","List C"
"AZ","IFC","member"
"AZ","IFRCS","member"
"AZ","ILO","member"
"AZ","IMF","member"
"AZ","IMO","member"
"AZ","Interpol","member"
"AZ","IOC","National Olympic Committee"
"AZ","IOM","member"
"AZ","IPU","member"
"AZ","ISO","member"
"AZ","ITSO","member"
"AZ","ITU","member"
"AZ","ITUC","member"
"AZ","MIGA","member"
"AZ","NAM","member"
"AZ","OAS","observer"
"AZ","OIC","member"
"AZ","OPCW","member"
"AZ","OSCE","member"
"AZ","PFP","member"
"AZ","SELEC","observer"
"AZ","UN","member"
"AZ","UNCTAD","member"
"AZ","UNESCO","member"
"AZ","UNHCR","member"
"AZ","UNIDO","member"
"AZ","UNWTO","member"
"AZ","UPU","member"
"AZ","WCO","member"
"AZ","WFTU","member"
"AZ","WHO","member"
"AZ","WIPO","member"
"AZ","WMO","member"
"AZ","WTO","observer"
"B","ADB","nonregional member"
"B","AfDB","nonregional member"
"B","AG","member"
"B","Benelux","member"
"B","BIS","member"
"B","CD","signatory"
"B","CE","member"
"B","CERN","member"
"B","EAPC","member"
"B","EBRD","member"
"B","ECB","member"
"B","EIB","member"
"B","EITI","stake holder"
"B","EMU","member"
"B","ESA","member"
"B","EU","member"
"B","FAO","member"
"B","FATF","member"
"B","G-10","member"
"B","G-9","member"
"B","IADB","member"
"B","IAEA","member"
"B","IBRD","member"
"B","ICAO","member"
"B","ICC","national committee"
"B","ICCt","state accepting jurisdiction"
"B","ICJ","accepting compulsory jurisdiction with reservations"
"B","IDA","member"
"B","IEA","member"
"B","IFAD","List A"
"B","IFC","member"
"B","IFRCS","member"
"B","IGAD","partner"
"B","IHO","member"
"B","ILO","member"
"B","IMF","member"
"B","IMO","member"
"B","IMSO","member"
"B","Interpol","member"
"B","IOC","National Olympic Committee"
"B","IOM","member"
"B","IPU","member"
"B","ISO","member"
"B","ITSO","member"
"B","ITU","member"
"B","ITUC","member"
"B","MIGA","member"
"B","MONUSCO","member"
"B","NATO","member"
"B","NEA","member"
"B","NSG","member"
"B","OAS","observer"
"B","OECD","member"
"B","OIF","member"
"B","OPCW","member"
"B","OSCE","member"
"B","PCA","member"
"B","SELEC","observer"
"B","UN","member"
"B","UNCTAD","member"
"B","UNESCO","member"
"B","UNHCR","member"
"B","UNIDO","member"
"B","UNIFIL","member"
"B","UNRWA","member"
"B","UNTSO","member"
"B","UPU","member"
"B","WCO","member"
"B","WHO","member"
"B","WIPO","member"
"B","WMO","member"
"B","WTO","member"
"B","ZC","member"
"BD","ADB","member"
"BD","ARF","member"
"BD","BIMSTEC","member"
"BD","C","member"
"BD","CD","signatory"
"BD","CICA","observer"
"BD","CP","member"
"BD","D-8","member"
"BD","FAO","member"
"BD","G-77","member"
"BD","IAEA","member"
"BD","IBRD","member"
"BD","ICAO","member"
"BD","ICC","national committee"
"BD","ICCt","state accepting jurisdiction"
"BD","IDA","member"
"BD","IDB","member"
"BD","IFAD","List C"
"BD","IFC","member"
"BD","IFRCS","member"
"BD","IHO","member"
"BD","ILO","member"
"BD","IMF","member"
"BD","IMO","member"
"BD","IMSO","member"
"BD","Interpol","member"
"BD","IOC","National Olympic Committee"
"BD","IOM","member"
"BD","IPU","member"
"BD","ISO","member"
"BD","ITSO","member"
"BD","ITU","member"
"BD","ITUC","member"
"BD","MIGA","member"
"BD","MINURSO","member"
"BD","MONUSCO","member"
"BD","NAM","member"
"BD","OIC","member"
"BD","OPCW","member"
"BD","PCA","member"
"BD","SAARC","member"
"BD","SACEP","member"
"BD","UN","member"
"BD","UNAMID","member"
"BD","UNCTAD","member"
"BD","UNESCO","member"
"BD","UNHCR","member"
"BD","UNIDO","member"
"BD","UNIFIL","member"
"BD","UNMIL","member"
"BD","UNMISS","member"
"BD","UNMIT","member"
"BD","UNOCI","member"
"BD","UNWTO","member"
"BD","UPU","member"
"BD","WCO","member"
"BD","WFTU","member"
"BD","WHO","member"
"BD","WIPO","member"
"BD","WMO","member"
"BD","WTO","member"
"BDS","ACP","member"
"BDS","AOSIS","member"
"BDS","C","member"
"BDS","Caricom","member"
"BDS","CDB","regional member"
"BDS","CELAC","member"
"BDS","FAO","member"
"BDS","G-77","member"
"BDS","IADB","member"
"BDS","IBRD","member"
"BDS","ICAO","member"
"BDS","ICCt","state accepting jurisdiction"
"BDS","ICJ","accepting compulsory jurisdiction with reservations"
"BDS","IDA","member"
"BDS","IFAD","List C"
"BDS","IFC","member"
"BDS","IFRCS","member"
"BDS","ILO","member"
"BDS","IMF","member"
"BDS","IMO","member"
"BDS","Interpol","member"
"BDS","IOC","National Olympic Committee"
"BDS","ISO","member"
"BDS","ITSO","member"
"BDS","ITU","member"
"BDS","ITUC","member"
"BDS","LAES","member"
"BDS","MIGA","member"
"BDS","NAM","member"
"BDS","OAS","member"
"BDS","OPANAL","member"
"BDS","OPCW","member"
"BDS","UN","member"
"BDS","UNCTAD","member"
"BDS","UNESCO","member"
"BDS","UNIDO","member"
"BDS","UPU","member"
"BDS","WCO","member"
"BDS","WFTU","member"
"BDS","WHO","member"
"BDS","WIPO","member"
"BDS","WMO","member"
"BDS","WTO","member"
"BEN","ACP","member"
"BEN","AfDB","regional member"
"BEN","AU","member"
"BEN","CD","signatory"
"BEN","ECOWAS","member"
"BEN","Entente","member"
"BEN","FAO","member"
"BEN","FZ","member"
"BEN","G-77","member"
"BEN","IAEA","member"
"BEN","IBRD","member"
"BEN","ICAO","member"
"BEN","ICCt","state accepting jurisdiction"
"BEN","IDA","member"
"BEN","IDB","member"
"BEN","IFAD","List C"
"BEN","IFC","member"
"BEN","IFRCS","member"
"BEN","ILO","member"
"BEN","IMF","member"
"BEN","IMO","member"
"BEN","Interpol","member"
"BEN","IOC","National Olympic Committee"
"BEN","IOM","member"
"BEN","IPU","member"
"BEN","ISO","member"
"BEN","ITSO","member"
"BEN","ITU","member"
"BEN","ITUC","member"
"BEN","MIGA","member"
"BEN","MONUSCO","member"
"BEN","NAM","member"
"BEN","OAS","observer"
"BEN","OIC","member"
"BEN","OIF","member"
"BEN","OPCW","member"
"BEN","PCA","member"
"BEN","UN","member"
"BEN","UNAMID","member"
"BEN","UNCTAD","member"
"BEN","UNESCO","member"
"BEN","UNHCR","member"
"BEN","UNIDO","member"
"BEN","UNISFA","member"
"BEN","UNMIL","member"
"BEN","UNMISS","member"
"BEN","UNOCI","member"
"BEN","UNWTO","member"
"BEN","UPU","member"
"BEN","WCO","member"
"BEN","WFTU","member"
"BEN","WHO","member"
"BEN","WIPO","member"
"BEN","WMO","member"
"BEN","WTO","member"
"BF","ACP","member"
"BF","AfDB","regional member"
"BF","AU","member"
"BF","CD","signatory"
"BF","ECOWAS","member"
"BF","EITI","compliant countries"
"BF","Entente","member"
"BF","FAO","member"
"BF","FZ","member"
"BF","G-77","member"
"BF","IAEA","member"
"BF","IBRD","member"
"BF","ICAO","member"
"BF","ICC","national committee"
"BF","ICCt","state accepting jurisdiction"
"BF","IDA","member"
"BF","IDB","member"
"BF","IFAD","List C"
"BF","IFC","member"
"BF","IFRCS","member"
"BF","ILO","member"
"BF","IMF","member"
"BF","Interpol","member"
"BF","IOC","National Olympic Committee"
"BF","IOM","member"
"BF","IPU","member"
"BF","ISO","member"
"BF","ITSO","member"
"BF","ITU","member"
"BF","ITUC","member"
"BF","MIGA","member"
"BF","MONUSCO","member"
"BF","NAM","member"
"BF","OIC","member"
"BF","OIF","member"
"BF","OPCW","member"
"BF","PCA","member"
"BF","UN","member"
"BF","UNAMID","member"
"BF","UNCTAD","member"
"BF","UNESCO","member"
"BF","UNIDO","member"
"BF","UNWTO","member"
"BF","UPU","member"
"BF","WCO","member"
"BF","WFTU","member"
"BF","WHO","member"
"BF","WIPO","member"
"BF","WMO","member"
"BF","WTO","member"
"BG","AG","member"
"BG","BIS","member"
"BG","BSEC","member"
"BG","CD","signatory"
"BG","CE","member"
"BG","CEI","member"
"BG","CERN","member"
"BG","EAPC","member"
"BG","EBRD","member"
"BG","EIB","member"
"BG","EU","member"
"BG","FAO","member"
"BG","G-9","member"
"BG","IAEA","member"
"BG","IBRD","member"
"BG","ICAO","member"
"BG","ICC","national committee"
"BG","ICCt","state accepting jurisdiction"
"BG","ICJ","accepting compulsory jurisdiction with reservations"
"BG","IFC","member"
"BG","IFRCS","member"
"BG","ILO","member"
"BG","IMF","member"
"BG","IMO","member"
"BG","IMSO","member"
"BG","Interpol","member"
"BG","IOC","National Olympic Committee"
"BG","IOM","member"
"BG","IPU","member"
"BG","ISO","member"
"BG","ITSO","member"
"BG","ITU","member"
"BG","ITUC","member"
"BG","MIGA","member"
"BG","NATO","member"
"BG","NSG","member"
"BG","OAS","observer"
"BG","OIF","member"
"BG","OPCW","member"
"BG","OSCE","member"
"BG","PCA","member"
"BG","SELEC","member"
"BG","UN","member"
"BG","UNCTAD","member"
"BG","UNESCO","member"
"BG","UNHCR","member"
"BG","UNIDO","member"
"BG","UNMIL","member"
"BG","UNWTO","member"
"BG","UPU","member"
"BG","WCO","member"
"BG","WFTU","member"
"BG","WHO","member"
"BG","WIPO","member"
"BG","WMO","member"
"BG","WTO","member"
"BG","ZC","member"
"BHT","ADB","member"
"BHT","BIMSTEC","member"
"BHT","CP","member"
"BHT","FAO","member"
"BHT","G-77","member"
"BHT","IBRD","member"
"BHT","ICAO","member"
"BHT","IDA","member"
"BHT","IFAD","List C"
"BHT","IFC","member"
"BHT","IMF","member"
"BHT","Interpol","member"
"BHT","IOC","National Olympic Committee"
"BHT","IOM","observer"
"BHT","IPU","member"
"BHT","ISO","correspondent member"
"BHT","ITSO","member"
"BHT","ITU","member"
"BHT","NAM","member"
"BHT","OPCW","member"
"BHT","SAARC","member"
"BHT","SACEP","member"
"BHT","UN","member"
"BHT","UNCTAD","member"
"BHT","UNESCO","member"
"BHT","UNIDO","member"
"BHT","UNWTO","member"
"BHT","UPU","member"
"BHT","WCO","member"
"BHT","WHO","member"
"BHT","WIPO","member"
"BHT","WMO","member"
"BHT","WTO","observer"
"BI","ACP","member"
"BI","AfDB","regional member"
"BI","AU","member"
"BI","CEPGL","member"
"BI","COMESA","member"
"BI","EAC","member"
"BI","FAO","member"
"BI","G-77","member"
"BI","IAEA","member"
"BI","IBRD","member"
"BI","ICAO","member"
"BI","ICCt","state accepting jurisdiction"
"BI","IDA","member"
"BI","IFAD","List C"
"BI","IFC","member"
"BI","IFRCS","member"
"BI","ILO","member"
"BI","IMF","member"
"BI","Interpol","member"
"BI","IOC","National Olympic Committee"
"BI","IOM","member"
"BI","IPU","member"
"BI","ISO","correspondent member"
"BI","ITU","member"
"BI","ITUC","member"
"BI","MIGA","member"
"BI","NAM","member"
"BI","OIF","member"
"BI","OPCW","member"
"BI","UN","member"
"BI","UNAMID","member"
"BI","UNCTAD","member"
"BI","UNESCO","member"
"BI","UNIDO","member"
"BI","UNISFA","member"
"BI","UNWTO","member"
"BI","UPU","member"
"BI","WCO","member"
"BI","WHO","member"
"BI","WIPO","member"
"BI","WMO","member"
"BI","WTO","member"
"BIH","BIS","member"
"BIH","CD","signatory"
"BIH","CE","member"
"BIH","CEI","member"
"BIH","EAPC","member"
"BIH","EBRD","member"
"BIH","FAO","member"
"BIH","G-77","member"
"BIH","IAEA","member"
"BIH","IBRD","member"
"BIH","ICAO","member"
"BIH","ICC","having direct member"
"BIH","ICCt","state accepting jurisdiction"
"BIH","IDA","member"
"BIH","IFAD","List C"
"BIH","IFC","member"
"BIH","IFRCS","member"
"BIH","ILO","member"
"BIH","IMF","member"
"BIH","IMO","member"
"BIH","IMSO","member"
"BIH","Interpol","member"
"BIH","IOC","National Olympic Committee"
"BIH","IOM","member"
"BIH","IPU","member"
"BIH","ISO","member"
"BIH","ITSO","member"
"BIH","ITU","member"
"BIH","ITUC","member"
"BIH","MIGA","member"
"BIH","MONUSCO","member"
"BIH","NAM","observer"
"BIH","NATO","candidate member"
"BIH","OAS","observer"
"BIH","OIC","observer"
"BIH","OIF","observer"
"BIH","OPCW","member"
"BIH","OSCE","member"
"BIH","PFP","member"
"BIH","SELEC","member"
"BIH","UN","member"
"BIH","UNCTAD","member"
"BIH","UNESCO","member"
"BIH","UNIDO","member"
"BIH","UNWTO","member"
"BIH","UPU","member"
"BIH","WCO","member"
"BIH","WHO","member"
"BIH","WIPO","member"
"BIH","WMO","member"
"BIH","WTO","observer"
"BM","Caricom","associate member"
"BM","ICC","having direct member"
"BM","Interpol","subbureau"
"BM","IOC","National Olympic Committee"
"BM","ITUC","member"
"BM","UPU","member"
"BM","WCO","member"
"BOL","CAN","member"
"BOL","CD","signatory"
"BOL","CELAC","member"
"BOL","FAO","member"
"BOL","G-77","member"
"BOL","IADB","member"
"BOL","IAEA","member"
"BOL","IBRD","member"
"BOL","ICAO","member"
"BOL","ICC","national committee"
"BOL","ICCt","state accepting jurisdiction"
"BOL","IDA","member"
"BOL","IFAD","List C"
"BOL","IFC","member"
"BOL","IFRCS","member"
"BOL","ILO","member"
"BOL","IMF","member"
"BOL","IMO","member"
"BOL","Interpol","member"
"BOL","IOC","National Olympic Committee"
"BOL","IOM","member"
"BOL","IPU","member"
"BOL","ISO","correspondent member"
"BOL","ITSO","member"
"BOL","ITU","member"
"BOL","LAES","member"
"BOL","LAIA","member"
"BOL","Mercosur","member"
"BOL","MIGA","member"
"BOL","MONUSCO","member"
"BOL","NAM","member"
"BOL","OAS","member"
"BOL","OPANAL","member"
"BOL","OPCW","member"
"BOL","PCA","member"
"BOL","UN","member"
"BOL","UNAMID","member"
"BOL","UNASUR","member"
"BOL","UNCTAD","member"
"BOL","UNESCO","member"
"BOL","UNIDO","member"
"BOL","UNISFA","member"
"BOL","UNMIL","member"
"BOL","UNMISS","member"
"BOL","UNOCI","member"
"BOL","UNWTO","member"
"BOL","UPU","member"
"BOL","WCO","member"
"BOL","WFTU","member"
"BOL","WHO","member"
"BOL","WIPO","member"
"BOL","WMO","member"
"BOL","WTO","member"
"BR","AfDB","nonregional member"
"BR","BIS","member"
"BR","CAN","associate member"
"BR","CD","signatory"
"BR","CELAC","member"
"BR","CPLP","member"
"BR","FAO","member"
"BR","FATF","member"
"BR","G-15","member"
"BR","G-20","member"
"BR","G-24","member"
"BR","G-77","member"
"BR","IADB","member"
"BR","IAEA","member"
"BR","IBRD","member"
"BR","ICAO","member"
"BR","ICC","national committee"
"BR","ICCt","state accepting jurisdiction"
"BR","IDA","member"
"BR","IFAD","List C"
"BR","IFC","member"
"BR","IFRCS","member"
"BR","IHO","member"
"BR","ILO","member"
"BR","IMF","member"
"BR","IMO","member"
"BR","IMSO","member"
"BR","Interpol","member"
"BR","IOC","National Olympic Committee"
"BR","IOM","member"
"BR","IPU","member"
"BR","ISO","member"
"BR","ITSO","member"
"BR","ITU","member"
"BR","ITUC","member"
"BR","LAES","member"
"BR","LAIA","member"
"BR","LAS","observer"
"BR","Mercosur","member"
"BR","MIGA","member"
"BR","MINURSO","member"
"BR","NAM","observer"
"BR","NSG","member"
"BR","OAS","member"
"BR","OPANAL","member"
"BR","OPCW","member"
"BR","PCA","member"
"BR","SICA","observer"
"BR","UN","member"
"BR","UNASUR","member"
"BR","UNCTAD","member"
"BR","UNESCO","member"
"BR","UNFICYP","member"
"BR","UNHCR","member"
"BR","UNIDO","member"
"BR","UNIFIL","member"
"BR","UNISFA","member"
"BR","UNITAR","member"
"BR","UNMIL","member"
"BR","UNMISS","member"
"BR","UNMIT","member"
"BR","UNOCI","member"
"BR","UNWTO","member"
"BR","UPU","member"
"BR","WCO","member"
"BR","WFTU","member"
"BR","WHO","member"
"BR","WIPO","member"
"BR","WMO","member"
"BR","WTO","member"
"BRN","ABEDA","member"
"BRN","AFESD","member"
"BRN","AMF","member"
"BRN","CAEU","member"
"BRN","CICA","member"
"BRN","FAO","member"
"BRN","G-77","member"
"BRN","GCC","member"
"BRN","IAEA","member"
"BRN","IBRD","member"
"BRN","ICAO","member"
"BRN","ICC","national committee"
"BRN","IDB","member"
"BRN","IFC","member"
"BRN","IFRCS","member"
"BRN","IHO","member"
"BRN","ILO","member"
"BRN","IMF","member"
"BRN","IMO","member"
"BRN","IMSO","member"
"BRN","Interpol","member"
"BRN","IOC","National Olympic Committee"
"BRN","IOM","observer"
"BRN","IPU","member"
"BRN","ISO","member"
"BRN","ITSO","member"
"BRN","ITU","member"
"BRN","ITUC","member"
"BRN","LAS","member"
"BRN","MIGA","member"
"BRN","NAM","member"
"BRN","OAPEC","member"
"BRN","OIC","member"
"BRN","OPCW","member"
"BRN","PCA","member"
"BRN","UN","member"
"BRN","UNCTAD","member"
"BRN","UNESCO","member"
"BRN","UNIDO","member"
"BRN","UNWTO","member"
"BRN","UPU","member"
"BRN","WCO","member"
"BRN","WFTU","member"
"BRN","WHO","member"
"BRN","WIPO","member"
"BRN","WMO","member"
"BRN","WTO","member"
"BRU","ADB","member"
"BRU","APEC","member"
"BRU","ARF","member"
"BRU","ASEAN","member"
"BRU","C","member"
"BRU","CP","member"
"BRU","EAS","member"
"BRU","FAO","member"
"BRU","G-77","member"
"BRU","IAEA","member"
"BRU","IBRD","member"
"BRU","ICAO","member"
"BRU","IDB","member"
"BRU","IFRCS","member"
"BRU","ILO","member"
"BRU","IMF","member"
